"CONSTRAINT_ID","TYPE","WHAT","CONDITION","LB","UB","ONOFF"
1,"Number","Item","",16,16,NA
2,"Number","Item","ITEM_TYPE == ""Polytomous""",4,5,NA
3,"Number","Item","STANDARD == ""MA 8.1.1.a"" & DOK %in% c(1, 1)",0,1,NA
4,"Number","Item","STANDARD == ""MA 8.1.1.b"" & DOK %in% c(1, 1)",0,1,NA
5,"Number","Item","STANDARD == ""MA 8.1.1.d"" & DOK %in% c(1, 2)",0,1,NA
6,"Number","Item","DOMAIN == ""NR""",1,2,NA
7,"Number","Item","STANDARD == ""MA 8.1.2.a"" & DOK %in% c(1, 1)",0,1,NA
8,"Number","Item","STANDARD == ""MA 8.1.2.b"" & DOK %in% c(1, 1)",0,1,NA
9,"Number","Item","STANDARD == ""MA 8.1.2.c"" & DOK %in% c(1, 1)",0,1,NA
10,"Number","Item","STANDARD == ""MA 8.1.2.e"" & DOK %in% c(1, 2)",0,1,NA
11,"Number","Item","DOMAIN == ""NO""",2,3,NA
12,"Number","Item","UDOMAIN == ""NUM""",4,4,NA
13,"Number","Item","UDOMAIN == ""NUM"" & ITEM_TYPE == ""Polytomous""",1,4,NA
14,"Number","Item","STANDARD == ""MA 8.2.1.a"" & DOK %in% c(1, 2)",0,1,NA
15,"Number","Item","STANDARD == ""MA 8.2.1.b"" & DOK %in% c(1, 2)",0,1,NA
16,"Number","Item","STANDARD == ""MA 8.2.1.c"" & DOK %in% c(1, 1)",0,1,NA
17,"Number","Item","STANDARD == ""MA 8.2.1.d"" & DOK %in% c(1, 2)",0,1,NA
18,"Number","Item","DOMAIN == ""AR""",2,3,NA
19,"Number","Item","STANDARD == ""MA 8.2.2.a"" & DOK %in% c(1, 1)",0,1,NA
20,"Number","Item","STANDARD == ""MA 8.2.2.b"" & DOK %in% c(1, 2)",0,1,NA
21,"Number","Item","DOMAIN == ""AP""",1,2,NA
22,"Number","Item","STANDARD == ""MA 8.2.3.a"" & DOK %in% c(1, 1)",0,1,NA
23,"Number","Item","STANDARD == ""MA 8.2.3.b"" & DOK %in% c(2, 2)",0,1,NA
24,"Number","Item","STANDARD == ""MA 8.2.3.c"" & DOK %in% c(2, 3)",0,1,NA
25,"Number","Item","DOMAIN == ""AA""",2,3,NA
26,"Number","Item","UDOMAIN == ""ALG""",5,5,NA
27,"Number","Item","UDOMAIN == ""ALG"" & ITEM_TYPE == ""Polytomous""",1,5,NA
28,"Number","Item","STANDARD == ""MA 8.3.1.a"" & DOK %in% c(2, 2)",0,1,NA
29,"Number","Item","STANDARD == ""MA 8.3.1.b"" & DOK %in% c(1, 2)",0,1,NA
30,"Number","Item","DOMAIN == ""GC""",1,2,NA
31,"Number","Item","STANDARD == ""MA 8.3.2.a"" & DOK %in% c(2, 2)",0,1,NA
32,"Number","Item","STANDARD == ""MA 8.3.2.b"" & DOK %in% c(1, 2)",0,1,NA
33,"Number","Item","STANDARD == ""MA 8.3.2.c"" & DOK %in% c(1, 2)",0,1,NA
34,"Number","Item","DOMAIN == ""GO""",1,2,NA
35,"Number","Item","STANDARD == ""MA 8.3.3.b"" & DOK %in% c(2, 3)",0,1,NA
36,"Number","Item","STANDARD == ""MA 8.3.3.c"" & DOK %in% c(1, 2)",0,1,NA
37,"Number","Item","STANDARD == ""MA 8.3.3.d"" & DOK %in% c(2, 2)",0,1,NA
38,"Number","Item","DOMAIN == ""GM""",2,3,NA
39,"Number","Item","UDOMAIN == ""GEO""",5,5,NA
40,"Number","Item","UDOMAIN == ""GEO"" & ITEM_TYPE == ""Polytomous""",1,5,NA
41,"Number","Item","STANDARD == ""MA 8.4.1.a"" & DOK %in% c(1, 1)",1,1,NA
42,"Number","Item","DOMAIN == ""DR""",1,1,NA
43,"Number","Item","STANDARD == ""MA 8.4.2.a"" & DOK %in% c(2, 2)",1,1,NA
44,"Number","Item","DOMAIN == ""DA""",1,1,NA
45,"Number","Item","UDOMAIN == ""DTA""",2,2,NA
46,"Number","Item","UDOMAIN == ""DTA"" & ITEM_TYPE == ""Polytomous""",1,2,NA
47,"SUM","Item","POINTS",20,21,NA
